Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,A,33,01_SE_A_33,6,2,Einbahnstraße,Spielstraße,breit,Parken-einseitig,normal,
SE,A,34,01_SE_A_34,6,2,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,A,36,01_SE_A_36,6,2,Einbahnstraße-Gegenverkehr,-,breit,Parken-einseitig,normal,
SE,A,37,01_SE_A_37,6,2,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-einseitig,normal,
SE,A,38,01_SE_A_38,6,2,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-einseitig,normal,
SE,A,39,01_SE_A_39,6,2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,A,41,01_SE_A_41,6,3,KFZ,-,breit,Parken-beidseitig,normal,
SE,A,42,01_SE_A_42,6,3,KFZ,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,A,43,01_SE_A_43,6,3,KFZ,Spielstraße,breit,Parken-beidseitig,normal,
SE,A,44,01_SE_A_44,6,3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,A,45,01_SE_A_45,6,3,KFZ,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,autofrei,
SE,A,51,01_SE_A_51,6,3,Einbahnstraße,-,breit,Parken-beidseitig,normal,
SE,A,52,01_SE_A_52,6,3,Einbahnstraße,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,A,53,01_SE_A_53,6,3,Einbahnstraße,Spielstraße,breit,Parken-beidseitig,normal,
SE,A,54,01_SE_A_54,6,3,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,A,56,01_SE_A_56,6,3,Einbahnstraße-Gegenverkehr,-,breit,Parken-beidseitig,normal,
SE,A,57,01_SE_A_57,6,3,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,A,58,01_SE_A_58,6,3,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-beidseitig,normal,
SE,A,59,01_SE_A_59,6,3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,A,61,01_SE_A_61,6,4,Einbahnstraße,-,schmal,nein,normal,
SE,A,62,01_SE_A_62,6,4,Einbahnstraße,Fahrradstraße,schmal,nein,normal,
SE,A,63,01_SE_A_63,6,4,Einbahnstraße,Spielstraße,schmal,nein,normal,
SE,A,64,01_SE_A_64,6,4,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,nein,normal,
